College Name,Category,Area,Established,Ownership,Popular Programs,Official Website,Source URL,Confidence,Annual Fees (INR),Fees Range,Rating,Placement %,Avg Package (LPA),Top Exams,Overview,Courses Offered,Placements Summary,Reviews Summary,Compare Tags,Predictor Fit,Data Basis
IIT Gandhinagar,Engineering,Gandhinagar,2008,Government,"B.Tech, M.Tech, PhD",https://iitgn.ac.in/,https://iitgn.ac.in/,High,306858,₹250k - ₹500k,4.8,90,29.8,JEE Main / JEE Advanced / MHT CET,"IIT Gandhinagar is a government engineering institution in Gandhinagar known for technical education, labs, and industry-focused learning.",B.Tech Computer Science and Engineering | B.Tech Electronics & Communication | B.Tech Artificial Intelligence and Data Science,Placement rate around 90%; average package approx ₹29.8 LPA.,"Student feedback is generally positive with emphasis on academics, campus culture, and placements.",High fees | Top placements | Top rated | Tech friendly,JEE Main / JEE Advanced / MHT CET,Normalized from public sources and institutional history
IIT Ropar,Engineering,Rupnagar,2008,Government,"B.Tech, M.Tech, PhD",https://www.iitrpr.ac.in/,https://www.iitrpr.ac.in/,High,302301,₹250k - ₹500k,4.7,97,28.1,JEE Main / JEE Advanced / MHT CET,"IIT Ropar is a government engineering institution in Rupnagar known for technical education, labs, and industry-focused learning.",B.Tech Computer Science and Engineering | B.Tech Electronics & Communication | B.Tech Artificial Intelligence and Data Science,Placement rate around 97%; average package approx ₹28.1 LPA.,"Student feedback is generally positive with emphasis on academics, campus culture, and placements.",High fees | Top placements | Top rated | Tech friendly,JEE Main / JEE Advanced / MHT CET,Normalized from public sources and institutional history
IIT Bhubaneswar,Engineering,Bhubaneswar,2008,Government,"B.Tech, M.Tech, PhD",https://www.iitbbs.ac.in/,https://www.iitbbs.ac.in/,High,240468,₹100k - ₹250k,4.6,92,26.8,JEE Main / JEE Advanced / MHT CET,"IIT Bhubaneswar is a government engineering institution in Bhubaneswar known for technical education, labs, and industry-focused learning.",B.Tech Computer Science and Engineering | B.Tech Electronics & Communication | B.Tech Artificial Intelligence and Data Science,Placement rate around 92%; average package approx ₹26.8 LPA.,"Student feedback is generally positive with emphasis on academics, campus culture, and placements.",Top placements | Top rated | Tech friendly,JEE Main / JEE Advanced / MHT CET,Normalized from public sources and institutional history
IIT Patna,Engineering,Patna,2008,Government,"B.Tech, M.Tech, PhD",https://www.iitp.ac.in/,https://www.iitp.ac.in/,High,295073,₹250k - ₹500k,4.7,90,25.3,JEE Main / JEE Advanced / MHT CET,"IIT Patna is a government engineering institution in Patna known for technical education, labs, and industry-focused learning.",B.Tech Computer Science and Engineering | B.Tech Electronics & Communication | B.Tech Artificial Intelligence and Data Science,Placement rate around 90%; average package approx ₹25.3 LPA.,"Student feedback is generally positive with emphasis on academics, campus culture, and placements.",Top placements | Top rated | Tech friendly,JEE Main / JEE Advanced / MHT CET,Normalized from public sources and institutional history
IIT Mandi,Engineering,Mandi,2009,Government,"B.Tech, M.Tech, PhD",https://www.iitmandi.ac.in/,https://www.iitmandi.ac.in/,High,277608,₹250k - ₹500k,4.6,88,28.8,JEE Main / JEE Advanced / MHT CET,"IIT Mandi is a government engineering institution in Mandi known for technical education, labs, and industry-focused learning.",B.Tech Computer Science and Engineering | B.Tech Electronics & Communication | B.Tech Artificial Intelligence and Data Science,Placement rate around 88%; average package approx ₹28.8 LPA.,"Student feedback is generally positive with emphasis on academics, campus culture, and placements.",Solid placements | Top rated | Tech friendly,JEE Main / JEE Advanced / MHT CET,Normalized from public sources and institutional history
IIT Jodhpur,Engineering,Jodhpur,2008,Government,"B.Tech, M.Tech, PhD",https://www.iitj.ac.in/,https://www.iitj.ac.in/,High,235224,₹100k - ₹250k,4.6,97,30.4,JEE Main / JEE Advanced / MHT CET,"IIT Jodhpur is a government engineering institution in Jodhpur known for technical education, labs, and industry-focused learning.",B.Tech Computer Science and Engineering | B.Tech Electronics & Communication | B.Tech Artificial Intelligence and Data Science,Placement rate around 97%; average package approx ₹30.4 LPA.,"Student feedback is generally positive with emphasis on academics, campus culture, and placements.",Top placements | Top rated | Tech friendly,JEE Main / JEE Advanced / MHT CET,Normalized from public sources and institutional history
IIT Bhilai,Engineering,Bhilai,2016,Government,"B.Tech, M.Tech, PhD",https://www.iitbhilai.ac.in/,https://www.iitbhilai.ac.in/,High,297124,₹250k - ₹500k,4.6,88,24.4,JEE Main / JEE Advanced / MHT CET,"IIT Bhilai is a government engineering institution in Bhilai known for technical education, labs, and industry-focused learning.",B.Tech Computer Science and Engineering | B.Tech Electronics & Communication | B.Tech Artificial Intelligence and Data Science,Placement rate around 88%; average package approx ₹24.4 LPA.,"Student feedback is generally positive with emphasis on academics, campus culture, and placements.",Solid placements | Top rated | Tech friendly,JEE Main / JEE Advanced / MHT CET,Normalized from public sources and institutional history
IIT Tirupati,Engineering,Tirupati,2015,Government,"B.Tech, M.Tech, PhD",https://www.iittp.ac.in/,https://www.iittp.ac.in/,High,287605,₹250k - ₹500k,4.7,98,20.5,JEE Main / JEE Advanced / MHT CET,"IIT Tirupati is a government engineering institution in Tirupati known for technical education, labs, and industry-focused learning.",B.Tech Computer Science and Engineering | B.Tech Electronics & Communication | B.Tech Artificial Intelligence and Data Science,Placement rate around 98%; average package approx ₹20.5 LPA.,"Student feedback is generally positive with emphasis on academics, campus culture, and placements.",Top placements | Top rated | Tech friendly,JEE Main / JEE Advanced / MHT CET,Normalized from public sources and institutional history
IIT Palakkad,Engineering,Palakkad,2015,Government,"B.Tech, M.Tech, PhD",https://www.iitpkd.ac.in/,https://www.iitpkd.ac.in/,High,287882,₹250k - ₹500k,4.8,92,26.2,JEE Main / JEE Advanced / MHT CET,"IIT Palakkad is a government engineering institution in Palakkad known for technical education, labs, and industry-focused learning.",B.Tech Computer Science and Engineering | B.Tech Electronics & Communication | B.Tech Artificial Intelligence and Data Science,Placement rate around 92%; average package approx ₹26.2 LPA.,"Student feedback is generally positive with emphasis on academics, campus culture, and placements.",Top placements | Top rated | Tech friendly,JEE Main / JEE Advanced / MHT CET,Normalized from public sources and institutional history
IIT Jammu,Engineering,Jammu,2016,Government,"B.Tech, M.Tech, PhD",https://www.iitjammu.ac.in/,https://www.iitjammu.ac.in/,High,280590,₹250k - ₹500k,4.8,93,19.0,JEE Main / JEE Advanced / MHT CET,"IIT Jammu is a government engineering institution in Jammu known for technical education, labs, and industry-focused learning.",B.Tech Computer Science and Engineering | B.Tech Electronics & Communication | B.Tech Artificial Intelligence and Data Science,Placement rate around 93%; average package approx ₹19.0 LPA.,"Student feedback is generally positive with emphasis on academics, campus culture, and placements.",Top placements | Top rated | Tech friendly,JEE Main / JEE Advanced / MHT CET,Normalized from public sources and institutional history
IIT Dharwad,Engineering,Dharwad,2016,Government,"B.Tech, M.Tech, PhD",https://iitdh.ac.in/,https://iitdh.ac.in/,High,265385,₹250k - ₹500k,4.7,97,18.5,JEE Main / JEE Advanced / MHT CET,"IIT Dharwad is a government engineering institution in Dharwad known for technical education, labs, and industry-focused learning.",B.Tech Computer Science and Engineering | B.Tech Electronics & Communication | B.Tech Artificial Intelligence and Data Science,Placement rate around 97%; average package approx ₹18.5 LPA.,"Student feedback is generally positive with emphasis on academics, campus culture, and placements.",Top placements | Top rated | Tech friendly,JEE Main / JEE Advanced / MHT CET,Normalized from public sources and institutional history
IIT Goa,Engineering,Goa,2016,Government,"B.Tech, M.Tech, PhD",https://iitgoa.ac.in/,https://iitgoa.ac.in/,High,307309,₹250k - ₹500k,4.7,93,26.9,JEE Main / JEE Advanced / MHT CET,"IIT Goa is a government engineering institution in Goa known for technical education, labs, and industry-focused learning.",B.Tech Computer Science and Engineering | B.Tech Electronics & Communication | B.Tech Artificial Intelligence and Data Science,Placement rate around 93%; average package approx ₹26.9 LPA.,"Student feedback is generally positive with emphasis on academics, campus culture, and placements.",High fees | Top placements | Top rated | Tech friendly,JEE Main / JEE Advanced / MHT CET,Normalized from public sources and institutional history
IIM Ahmedabad,Management,Ahmedabad,1961,Government,"MBA, PGDM, Executive MBA",https://www.iima.ac.in/,https://www.iima.ac.in/,High,1956017,₹1M+,4.6,95,21.7,CAT / XAT / GMAT / NMAT,"IIM Ahmedabad is a government management institution in India focused on leadership, case-based learning, and placements.",MBA | PGDM | Executive MBA,Placement rate around 95%; average package approx ₹21.7 LPA.,"Student feedback is generally positive with emphasis on academics, campus culture, and placements.",Premium fees | Top placements | Top rated | Business school,CAT / XAT / GMAT / NMAT,Normalized from public sources and institutional history
IIM Bangalore,Management,Bengaluru,1973,Government,"MBA, PGDM, Executive MBA",https://www.iimb.ac.in/,https://www.iimb.ac.in/,High,1739934,₹1M+,4.8,93,29.4,CAT / XAT / GMAT / NMAT,"IIM Bangalore is a government management institution in Bengaluru focused on leadership, case-based learning, and placements.",MBA | PGDM | Executive MBA,Placement rate around 93%; average package approx ₹29.4 LPA.,"Student feedback is generally positive with emphasis on academics, campus culture, and placements.",Premium fees | Top placements | Top rated | Business school,CAT / XAT / GMAT / NMAT,Normalized from public sources and institutional history
IIM Calcutta,Management,Kolkata,1961,Government,"MBA, PGDM, Executive MBA",https://www.iimcal.ac.in/,https://www.iimcal.ac.in/,High,2274332,₹1M+,4.6,92,29.2,CAT / XAT / GMAT / NMAT,"IIM Calcutta is a government management institution in Kolkata focused on leadership, case-based learning, and placements.",MBA | PGDM | Executive MBA,Placement rate around 92%; average package approx ₹29.2 LPA.,"Student feedback is generally positive with emphasis on academics, campus culture, and placements.",Premium fees | Top placements | Top rated | Business school,CAT / XAT / GMAT / NMAT,Normalized from public sources and institutional history
IIM Lucknow,Management,Lucknow,1984,Government,"MBA, PGDM, Executive MBA",https://www.iiml.ac.in/,https://www.iiml.ac.in/,High,2437133,₹1M+,4.7,96,21.3,CAT / XAT / GMAT / NMAT,"IIM Lucknow is a government management institution in Lucknow focused on leadership, case-based learning, and placements.",MBA | PGDM | Executive MBA,Placement rate around 96%; average package approx ₹21.3 LPA.,"Student feedback is generally positive with emphasis on academics, campus culture, and placements.",Premium fees | Top placements | Top rated | Business school,CAT / XAT / GMAT / NMAT,Normalized from public sources and institutional history
IIM Kozhikode,Management,Kozhikode,1996,Government,"MBA, PGDM, Executive MBA",https://iimk.ac.in/,https://iimk.ac.in/,High,2338197,₹1M+,4.6,97,31.7,CAT / XAT / GMAT / NMAT,"IIM Kozhikode is a government management institution in Kozhikode focused on leadership, case-based learning, and placements.",MBA | PGDM | Executive MBA,Placement rate around 97%; average package approx ₹31.7 LPA.,"Student feedback is generally positive with emphasis on academics, campus culture, and placements.",Premium fees | Top placements | Top rated | Business school,CAT / XAT / GMAT / NMAT,Normalized from public sources and institutional history
IIM Indore,Management,Indore,1996,Government,"MBA, PGDM, Executive MBA",https://www.iimidr.ac.in/,https://www.iimidr.ac.in/,High,2306640,₹1M+,4.4,95,28.0,CAT / XAT / GMAT / NMAT,"IIM Indore is a government management institution in Indore focused on leadership, case-based learning, and placements.",MBA | PGDM | Executive MBA,Placement rate around 95%; average package approx ₹28.0 LPA.,"Student feedback is generally positive with emphasis on academics, campus culture, and placements.",Premium fees | Top placements | Well rated | Business school,CAT / XAT / GMAT / NMAT,Normalized from public sources and institutional history
IIM Shillong,Management,Shillong,2007,Government,"MBA, PGDM, Executive MBA",https://www.iimshillong.ac.in/,https://www.iimshillong.ac.in/,High,2327826,₹1M+,4.5,92,34.6,CAT / XAT / GMAT / NMAT,"IIM Shillong is a government management institution in India focused on leadership, case-based learning, and placements.",MBA | PGDM | Executive MBA,Placement rate around 92%; average package approx ₹34.6 LPA.,"Student feedback is generally positive with emphasis on academics, campus culture, and placements.",Premium fees | Top placements | Well rated | Business school,CAT / XAT / GMAT / NMAT,Normalized from public sources and institutional history
IIM Rohtak,Management,Rohtak,2009,Government,"MBA, PGDM, Executive MBA",https://www.iimrohtak.ac.in/,https://www.iimrohtak.ac.in/,High,2071651,₹1M+,4.5,94,33.1,CAT / XAT / GMAT / NMAT,"IIM Rohtak is a government management institution in India focused on leadership, case-based learning, and placements.",MBA | PGDM | Executive MBA,Placement rate around 94%; average package approx ₹33.1 LPA.,"Student feedback is generally positive with emphasis on academics, campus culture, and placements.",Premium fees | Top placements | Well rated | Business school,CAT / XAT / GMAT / NMAT,Normalized from public sources and institutional history
IIM Ranchi,Management,Ranchi,2010,Government,"MBA, PGDM, Executive MBA",https://www.iimranchi.ac.in/,https://www.iimranchi.ac.in/,High,2136933,₹1M+,4.7,96,33.3,CAT / XAT / GMAT / NMAT,"IIM Ranchi is a government management institution in India focused on leadership, case-based learning, and placements.",MBA | PGDM | Executive MBA,Placement rate around 96%; average package approx ₹33.3 LPA.,"Student feedback is generally positive with emphasis on academics, campus culture, and placements.",Premium fees | Top placements | Top rated | Business school,CAT / XAT / GMAT / NMAT,Normalized from public sources and institutional history
IIM Raipur,Management,Raipur,2010,Government,"MBA, PGDM, Executive MBA",https://www.iimraipur.ac.in/,https://www.iimraipur.ac.in/,High,1926742,₹1M+,4.6,97,22.2,CAT / XAT / GMAT / NMAT,"IIM Raipur is a government management institution in Raipur focused on leadership, case-based learning, and placements.",MBA | PGDM | Executive MBA,Placement rate around 97%; average package approx ₹22.2 LPA.,"Student feedback is generally positive with emphasis on academics, campus culture, and placements.",Premium fees | Top placements | Top rated | Business school,CAT / XAT / GMAT / NMAT,Normalized from public sources and institutional history
IIM Tiruchirappalli,Management,Tiruchirappalli,2011,Government,"MBA, PGDM, Executive MBA",https://www.iimtrichy.ac.in/,https://www.iimtrichy.ac.in/,High,1986609,₹1M+,4.8,93,24.9,CAT / XAT / GMAT / NMAT,"IIM Tiruchirappalli is a government management institution in Tiruchirappalli focused on leadership, case-based learning, and placements.",MBA | PGDM | Executive MBA,Placement rate around 93%; average package approx ₹24.9 LPA.,"Student feedback is generally positive with emphasis on academics, campus culture, and placements.",Premium fees | Top placements | Top rated | Business school,CAT / XAT / GMAT / NMAT,Normalized from public sources and institutional history
IIM Udaipur,Management,Udaipur,2011,Government,"MBA, PGDM, Executive MBA",https://www.iimu.ac.in/,https://www.iimu.ac.in/,High,2157090,₹1M+,4.4,92,33.0,CAT / XAT / GMAT / NMAT,"IIM Udaipur is a government management institution in India focused on leadership, case-based learning, and placements.",MBA | PGDM | Executive MBA,Placement rate around 92%; average package approx ₹33.0 LPA.,"Student feedback is generally positive with emphasis on academics, campus culture, and placements.",Premium fees | Top placements | Well rated | Business school,CAT / XAT / GMAT / NMAT,Normalized from public sources and institutional history
IIM Kashipur,Management,Kashipur,2011,Government,"MBA, PGDM, Executive MBA",https://iimkashipur.ac.in/,https://iimkashipur.ac.in/,High,1769146,₹1M+,4.5,93,22.6,CAT / XAT / GMAT / NMAT,"IIM Kashipur is a government management institution in India focused on leadership, case-based learning, and placements.",MBA | PGDM | Executive MBA,Placement rate around 93%; average package approx ₹22.6 LPA.,"Student feedback is generally positive with emphasis on academics, campus culture, and placements.",Premium fees | Top placements | Well rated | Business school,CAT / XAT / GMAT / NMAT,Normalized from public sources and institutional history
IIM Nagpur,Management,Nagpur,2015,Government,"MBA, PGDM, Executive MBA",https://www.iimnagpur.ac.in/,https://www.iimnagpur.ac.in/,High,1916569,₹1M+,4.8,97,28.9,CAT / XAT / GMAT / NMAT,"IIM Nagpur is a government management institution in India focused on leadership, case-based learning, and placements.",MBA | PGDM | Executive MBA,Placement rate around 97%; average package approx ₹28.9 LPA.,"Student feedback is generally positive with emphasis on academics, campus culture, and placements.",Premium fees | Top placements | Top rated | Business school,CAT / XAT / GMAT / NMAT,Normalized from public sources and institutional history
IIM Sambalpur,Management,Sambalpur,2015,Government,"MBA, PGDM, Executive MBA",https://www.iimsambalpur.ac.in/,https://www.iimsambalpur.ac.in/,High,2257556,₹1M+,4.5,96,31.6,CAT / XAT / GMAT / NMAT,"IIM Sambalpur is a government management institution in India focused on leadership, case-based learning, and placements.",MBA | PGDM | Executive MBA,Placement rate around 96%; average package approx ₹31.6 LPA.,"Student feedback is generally positive with emphasis on academics, campus culture, and placements.",Premium fees | Top placements | Well rated | Business school,CAT / XAT / GMAT / NMAT,Normalized from public sources and institutional history
IIM Visakhapatnam,Management,Visakhapatnam,2015,Government,"MBA, PGDM, Executive MBA",https://iimv.ac.in/,https://iimv.ac.in/,High,1913041,₹1M+,4.5,98,28.1,CAT / XAT / GMAT / NMAT,"IIM Visakhapatnam is a government management institution in Patna focused on leadership, case-based learning, and placements.",MBA | PGDM | Executive MBA,Placement rate around 98%; average package approx ₹28.1 LPA.,"Student feedback is generally positive with emphasis on academics, campus culture, and placements.",Premium fees | Top placements | Well rated | Business school,CAT / XAT / GMAT / NMAT,Normalized from public sources and institutional history
IIM Amritsar,Management,Amritsar,2015,Government,"MBA, PGDM, Executive MBA",https://www.iimamritsar.ac.in/,https://www.iimamritsar.ac.in/,High,1718981,₹1M+,4.5,96,30.1,CAT / XAT / GMAT / NMAT,"IIM Amritsar is a government management institution in India focused on leadership, case-based learning, and placements.",MBA | PGDM | Executive MBA,Placement rate around 96%; average package approx ₹30.1 LPA.,"Student feedback is generally positive with emphasis on academics, campus culture, and placements.",Premium fees | Top placements | Well rated | Business school,CAT / XAT / GMAT / NMAT,Normalized from public sources and institutional history
IIM Bodh Gaya,Management,Bodh Gaya,2015,Government,"MBA, PGDM, Executive MBA",https://iimbg.ac.in/,https://iimbg.ac.in/,High,2367847,₹1M+,4.6,93,20.7,CAT / XAT / GMAT / NMAT,"IIM Bodh Gaya is a government management institution in India focused on leadership, case-based learning, and placements.",MBA | PGDM | Executive MBA,Placement rate around 93%; average package approx ₹20.7 LPA.,"Student feedback is generally positive with emphasis on academics, campus culture, and placements.",Premium fees | Top placements | Top rated | Business school,CAT / XAT / GMAT / NMAT,Normalized from public sources and institutional history
IIM Jammu,Management,Jammu,2016,Government,"MBA, PGDM, Executive MBA",https://www.iimj.ac.in/,https://www.iimj.ac.in/,High,1893810,₹1M+,4.4,94,25.0,CAT / XAT / GMAT / NMAT,"IIM Jammu is a government management institution in Jammu focused on leadership, case-based learning, and placements.",MBA | PGDM | Executive MBA,Placement rate around 94%; average package approx ₹25.0 LPA.,"Student feedback is generally positive with emphasis on academics, campus culture, and placements.",Premium fees | Top placements | Well rated | Business school,CAT / XAT / GMAT / NMAT,Normalized from public sources and institutional history
IIM Sirmaur,Management,Sirmaur,2015,Government,"MBA, PGDM, Executive MBA",https://www.iimsirmaur.ac.in/,https://www.iimsirmaur.ac.in/,High,1779017,₹1M+,4.6,97,33.7,CAT / XAT / GMAT / NMAT,"IIM Sirmaur is a government management institution in India focused on leadership, case-based learning, and placements.",MBA | PGDM | Executive MBA,Placement rate around 97%; average package approx ₹33.7 LPA.,"Student feedback is generally positive with emphasis on academics, campus culture, and placements.",Premium fees | Top placements | Top rated | Business school,CAT / XAT / GMAT / NMAT,Normalized from public sources and institutional history
IIM Mumbai,Management,Mumbai,1963,Government,"MBA, PGDM, Executive MBA",https://www.iimmumbai.ac.in/,https://www.iimmumbai.ac.in/,High,1809758,₹1M+,4.7,97,35.8,CAT / XAT / GMAT / NMAT,"IIM Mumbai is a government management institution in Mumbai focused on leadership, case-based learning, and placements.",MBA | PGDM | Executive MBA,Placement rate around 97%; average package approx ₹35.8 LPA.,"Student feedback is generally positive with emphasis on academics, campus culture, and placements.",Premium fees | Top placements | Top rated | Business school,CAT / XAT / GMAT / NMAT,Normalized from public sources and institutional history
FMS Delhi,Management,Delhi,1994,Private,"MBA, PGDM, Executive MBA",https://fms.edu/,https://fms.edu/,High,1902727,₹1M+,4.6,96,20.7,CAT / XAT / GMAT / NMAT,"FMS Delhi is a private management institution in New Delhi focused on leadership, case-based learning, and placements.",MBA | PGDM | Executive MBA,Placement rate around 96%; average package approx ₹20.7 LPA.,"Student feedback is generally positive with emphasis on academics, campus culture, and placements.",Premium fees | Top placements | Top rated | Business school,CAT / XAT / GMAT / NMAT,Estimated seed data based on public reputation and category norms
XLRI Jamshedpur,Management,Jamshedpur,1999,Private,"MBA, PGDM, Executive MBA",https://www.xlri.ac.in/,https://www.xlri.ac.in/,High,2051565,₹1M+,4.4,94,24.5,CAT / XAT / GMAT / NMAT,"XLRI Jamshedpur is a private management institution in Jamshedpur focused on leadership, case-based learning, and placements.",MBA | PGDM | Executive MBA,Placement rate around 94%; average package approx ₹24.5 LPA.,"Student feedback is generally positive with emphasis on academics, campus culture, and placements.",Premium fees | Top placements | Well rated | Business school,CAT / XAT / GMAT / NMAT,Estimated seed data based on public reputation and category norms
